Anrede;Vorname;Nachname;E-Mail;Telefon;Login;Rolle
Frau/Herr;Anna;Duplikat;anna.duplikat@demo-import.ganz-om.invalid;030 1000 2000;demo-dup-01;mitarbeiter
Frau/Herr;Bernd;Doppel;bernd.doppel@demo-import.ganz-om.invalid;030 1001 2001;demo-dup-02;mitarbeiter
Frau/Herr;Clara;Fischer;clara.fischer@demo-import.ganz-om.invalid;030 1002 2002;demo-ma-03;mitarbeiter
Frau/Herr;David;Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;030 1003 2003;demo-ma-04;mitarbeiter
Frau/Herr;Elena;Jung;elena.jung@demo-import.ganz-om.invalid;030 1004 2004;demo-ma-05;mitarbeiter
Frau/Herr;Felix;Keller;felix.keller@demo-import.ganz-om.invalid;030 1005 2005;demo-ma-06;mitarbeiter
Frau/Herr;Greta;Lange;greta.lange@demo-import.ganz-om.invalid;030 1006 2006;demo-ma-07;mitarbeiter
Frau/Herr;Hans;Meier;hans.meier@demo-import.ganz-om.invalid;030 1007 2007;demo-ma-08;mitarbeiter
Frau/Herr;Ina;Neumann;ina.neumann@demo-import.ganz-om.invalid;030 1008 2008;demo-ma-09;mitarbeiter
Frau/Herr;Jonas;Otto;jonas.otto@demo-import.ganz-om.invalid;030 1009 2009;demo-ma-10;mitarbeiter
Frau/Herr;Karla;Peters;karla.peters@demo-import.ganz-om.invalid;030 1010 2010;demo-ma-11;mitarbeiter
Frau/Herr;Leon;Richter;leon.richter@demo-import.ganz-om.invalid;030 1011 2011;demo-ma-12;mitarbeiter
