E-Mail;Login;Name;Datum;Beginn;Ende;Pause_Minuten;Stunden
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;01.06.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;02.06.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;03.06.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;04.06.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;05.06.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;08.06.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;09.06.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;10.06.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;11.06.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;12.06.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;15.06.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;16.06.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;17.06.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;18.06.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;19.06.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;22.06.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;23.06.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;24.06.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;25.06.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;26.06.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;29.06.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;30.06.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;01.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;02.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;03.07.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;06.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;07.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;08.07.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;09.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;10.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;13.07.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;14.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;15.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;16.07.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;17.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;20.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;21.07.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;22.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;23.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;24.07.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;27.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;28.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;29.07.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;30.07.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;31.07.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;03.08.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;04.08.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;05.08.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;06.08.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;07.08.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;10.08.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;11.08.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;12.08.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;13.08.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;14.08.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;17.08.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;18.08.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;19.08.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;20.08.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;21.08.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;24.08.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;25.08.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;26.08.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;27.08.2026;07:30;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;28.08.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;31.08.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;01.09.2026;08:00;17:00;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;02.09.2026;07:30;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;03.09.2026;08:00;16:30;30;
anna.duplikat@demo-import.ganz-om.invalid;demo-dup-01;Anna Duplikat;04.09.2026;07:30;17:00;30;
