E-Mail;Login;Name;Datum;Beginn;Ende;Pause_Minuten;Stunden
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;01.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;02.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;03.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;04.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;05.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;08.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;09.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;10.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;11.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;12.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;15.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;16.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;17.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;18.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;19.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;22.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;23.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;24.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;25.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;26.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;29.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;30.06.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;01.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;02.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;03.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;06.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;07.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;08.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;09.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;10.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;13.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;14.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;15.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;16.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;17.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;20.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;21.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;22.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;23.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;24.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;27.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;28.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;29.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;30.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;31.07.2026;08:00;16:30;30;
mira.keine@demo-import.ganz-om.invalid;demo-ot-01;Mira Keine;03.08.2026;08:00;16:30;30;
