Employee;Email;Date;Clocked in;Clocked out;Break;Hours
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-01;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-02;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-03;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-04;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-05;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-08;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-09;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-10;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-11;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-12;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-15;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-16;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-17;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-18;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-19;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-22;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-23;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-24;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-25;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-26;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-29;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-06-30;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-01;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-02;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-03;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-06;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-07;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-08;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-09;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-10;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-13;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-14;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-15;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-16;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-17;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-20;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-21;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-22;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-23;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-24;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-27;08:00;16:30;30;
